5.3850E-02	0.0000E+00
2.5440E-01	0.0000E+00
4.2660E-01	0.0000E+00
5.8660E-01	0.0000E+00
7.5510E-01	0.0000E+00
9.3390E-01	0.0000E+00
1.1200E+00	0.0000E+00
1.3060E+00	0.0000E+00
1.4900E+00	0.0000E+00
1.6720E+00	0.0000E+00
1.8560E+00	0.0000E+00
2.0400E+00	0.0000E+00
2.2160E+00	0.0000E+00
2.3990E+00	0.0000E+00
2.5830E+00	0.0000E+00
2.7650E+00	4.1880E-35
2.9480E+00	3.9830E-32
3.1300E+00	8.9680E-30
3.3110E+00	2.3140E-26
3.4890E+00	8.1710E-25
3.6650E+00	1.4120E-23
3.8390E+00	1.3900E-22
4.0110E+00	8.7900E-22
4.1790E+00	3.9130E-21
4.3430E+00	1.3170E-20
4.4960E+00	3.5420E-20
4.6390E+00	7.9670E-20
4.7630E+00	1.5530E-19
4.8690E+00	2.7020E-19
4.9570E+00	4.2980E-19
5.0300E+00	6.3690E-19
5.0890E+00	8.9260E-19
5.1370E+00	1.1970E-18
5.1770E+00	1.5480E-18
5.2100E+00	1.9480E-18
5.2380E+00	2.3960E-18
5.2620E+00	2.8920E-18
5.2830E+00	3.4360E-18
5.3030E+00	4.0290E-18
5.3210E+00	4.6730E-18
5.3380E+00	5.3690E-18
5.3540E+00	6.1170E-18
5.3700E+00	6.9200E-18
5.3850E+00	7.7800E-18
5.4010E+00	8.6980E-18
5.4160E+00	9.6760E-18
5.4310E+00	1.0720E-17
5.4460E+00	1.1820E-17
5.4610E+00	1.2990E-17
5.4760E+00	1.4230E-17
5.4910E+00	1.5540E-17
5.5070E+00	1.6920E-17
5.5220E+00	1.8370E-17
5.5380E+00	1.9900E-17
5.5540E+00	2.1510E-17
5.5690E+00	2.3200E-17
5.5850E+00	2.4980E-17
5.6020E+00	2.6830E-17
5.6180E+00	2.8780E-17
5.6340E+00	3.0810E-17
5.6510E+00	3.2930E-17
5.6670E+00	3.5150E-17
5.6840E+00	3.7460E-17
5.7010E+00	3.9870E-17
5.7180E+00	4.2370E-17
5.7350E+00	4.4980E-17
5.7520E+00	4.7690E-17
5.7690E+00	5.0490E-17
5.7870E+00	5.3410E-17
5.8040E+00	5.6430E-17
5.8220E+00	5.9560E-17
5.8390E+00	6.2800E-17
5.8570E+00	6.6150E-17
5.8740E+00	6.9610E-17
5.8920E+00	7.3190E-17
5.9100E+00	7.6880E-17
5.9280E+00	8.0690E-17
5.9450E+00	8.4620E-17
5.9630E+00	8.8660E-17
5.9810E+00	9.2820E-17
5.9990E+00	9.7100E-17
6.0170E+00	1.0150E-16
6.0350E+00	1.0600E-16
6.0530E+00	1.1070E-16
6.0710E+00	1.1550E-16
6.0890E+00	1.2040E-16
6.1070E+00	1.2540E-16
6.1250E+00	1.3050E-16
6.1430E+00	1.3580E-16
6.1610E+00	1.4120E-16
6.1790E+00	1.4670E-16
6.1970E+00	1.5240E-16
6.2150E+00	1.5820E-16
6.2320E+00	1.6410E-16
6.2500E+00	1.7020E-16
6.2680E+00	1.7640E-16
6.2860E+00	1.8270E-16
6.3040E+00	1.8910E-16
6.3220E+00	1.9570E-16
6.3400E+00	2.0240E-16
6.3580E+00	2.0930E-16
6.3750E+00	2.1620E-16
6.3930E+00	2.2330E-16
6.4110E+00	2.3060E-16
6.4290E+00	2.3800E-16
6.4460E+00	2.4550E-16
6.4640E+00	2.5310E-16
6.4820E+00	2.6090E-16
6.4990E+00	2.6890E-16
6.5170E+00	2.7690E-16
6.5340E+00	2.8520E-16
6.5520E+00	2.9350E-16
6.5700E+00	3.0200E-16
6.5870E+00	3.1060E-16
6.6050E+00	3.1940E-16
6.6220E+00	3.2830E-16
6.6390E+00	3.3740E-16
6.6570E+00	3.4660E-16
6.6740E+00	3.5600E-16
6.6920E+00	3.6550E-16
6.7090E+00	3.7510E-16
6.7260E+00	3.8490E-16
6.7440E+00	3.9480E-16
6.7610E+00	4.0490E-16
6.7780E+00	4.1520E-16
6.7960E+00	4.2550E-16
6.8130E+00	4.3610E-16
6.8300E+00	4.4680E-16
6.8470E+00	4.5760E-16
6.8650E+00	4.6860E-16
6.8820E+00	4.7970E-16
6.8990E+00	4.9100E-16
6.9160E+00	5.0250E-16
6.9330E+00	5.1410E-16
6.9510E+00	5.2580E-16
6.9680E+00	5.3780E-16
6.9850E+00	5.4980E-16
7.0020E+00	5.6210E-16
7.0190E+00	5.7450E-16
7.0360E+00	5.8700E-16
7.0530E+00	5.9980E-16
7.0700E+00	6.1270E-16
7.0880E+00	6.2570E-16
7.1050E+00	6.3890E-16
7.1220E+00	6.5230E-16
7.1390E+00	6.6590E-16
7.1560E+00	6.7960E-16
7.1730E+00	6.9350E-16
7.1900E+00	7.0750E-16
7.2070E+00	7.2180E-16
